business_title,address,city,telephone,website,lng,lat,category,discount1,discount2
חניון קרתא,יצחק קריב,ירושלים,02-6253270,,,,transportation,50% הנחה לשעת חניה,
ליסקאר,התנופה 5,ירושלים,02-6312626,,,,transportation,כל רכב שתחפוץ להשכרה 15%,הנחה בהשכרת רכב
צמיגי חסקי,אליאב יעקב 4,ירושלים,054-200094,,,,transportation,25% הנחה על כל סוגי הצמיגים,תיקוני תקר חינם!
בימות,שמאי 8,ירושלים,*6226,www.bimot.co.il,,,leisure,15%-25% הנחה למופעים ואירועים נבחרים,* למעט מופעים שאין עליהם הנחות
סינמה סיטי,יצחק רבין 10,ירושלים,03-9437615,www.cinema-city.co.il,,,leisure,מופעי מוזיקה: 70 ₪ לכרטיס יחיד | 120 ₪ לכרטיס זוגי,הצגות ילדים: 52 ₪ במקום 62 ₪
אינגליש קייק,יפו 36,ירושלים,02-6242073,www.englishcake.co.il,,,restaurants_coffee,10% הנחה בקניה מעל 40 ₪,
ספגטים,הלל 35,ירושלים,02-6235547,www.spaghettim.co.il,,,restaurants_coffee,"10% הנחה לא כולל עסקיות, אין כפל מבצעים",
תכשיטי רון בן דוד בע“מ,חיי טייב 14,ירושלים,02-6519689,,,,consumer,10% הנחה על פנינים ואבני חן שונות,3% הנחה על כל תכשיטי הזהב
ירדן ספרים,יפו 42,ירושלים,02-6254904,,,,consumer,10% הנחה לא כולל מבצעים או עיתונים,בכפוף לחוק הספרים
טים קארטינג,האומן 17,ירושלים,077-5030566,www.teamkarting.co.il,,,sports,"10% הנחה מדמי הכניסה לקארטינג, עבור הדרכה ומקצה",
BILU BIKES,בילו 16,ירושלים,077-7534750,,,,sports,10% הנחה על קניית אופניים וציוד נלווה,
